,Gender,Age,Recommendation,Reward
1108,f,77.0,health,1
1109,f,72.0,sports,0
1110,f,91.0,news,0
1111,m,82.0,news,0
1112,f,74.0,health,1
1113,m,75.0,health,1
1114,m,12.0,movies,1
1115,f,15.0,sports,1
1116,m,32.0,sports,0
1117,m,32.0,news,0
1118,f,55.0,health,1
1119,m,96.0,news,0
1120,m,57.0,health,1
1121,m,58.0,news,0
1122,f,60.0,health,1
1123,f,17.0,health,0
1124,f,17.0,sports,1
1125,m,83.0,news,0
1126,m,77.0,movies,0
1127,m,38.0,news,1
1128,f,26.0,news,0
1129,m,30.0,sports,1
1130,f,60.0,movies,0
1131,f,80.0,health,1
1132,f,33.0,movies,1
1133,f,32.0,health,1
1134,f,22.0,sports,1
1135,m,85.0,news,0
1136,m,70.0,health,1
1137,f,16.0,movies,1
1138,f,83.0,sports,0
1139,f,54.0,sports,0
1140,f,72.0,health,1
1141,m,20.0,sports,1
1142,m,59.0,health,1
1143,m,31.0,news,1
1144,m,72.0,health,1
1145,m,19.0,health,0
1146,f,90.0,sports,0
1147,f,34.0,news,0
1148,f,31.0,sports,0
1149,f,73.0,movies,0
1150,m,68.0,news,0
1151,f,98.0,health,1
1152,f,59.0,health,0
1153,f,38.0,sports,0
1154,f,54.0,sports,0
1155,m,69.0,news,0
1156,f,88.0,health,0
1157,m,88.0,health,1
1158,f,39.0,movies,1
1159,f,22.0,news,0
1160,f,69.0,news,0
1161,m,51.0,sports,0
1162,f,32.0,health,1
1163,f,98.0,health,1
1164,m,70.0,sports,0
1165,f,55.0,movies,0
1166,f,79.0,health,1
1167,f,61.0,health,1
1168,m,76.0,movies,0
1169,f,72.0,news,0
1170,m,93.0,news,0
1171,f,23.0,sports,1
1172,m,41.0,movies,0
1173,f,40.0,movies,1
1174,m,11.0,health,0
1175,m,19.0,movies,1
1176,m,24.0,movies,1
1177,f,62.0,news,0
1178,m,66.0,news,0
1179,m,46.0,movies,0
1180,f,47.0,news,0
1181,f,29.0,movies,1
1182,m,97.0,sports,0
1183,m,99.0,health,1
1184,f,71.0,sports,0
1185,m,94.0,news,0
1186,m,38.0,health,0
1187,m,37.0,health,0
1188,f,39.0,news,0
1189,m,35.0,health,0
1190,f,85.0,movies,0
1191,m,40.0,news,1
1192,m,45.0,movies,0
1193,m,94.0,news,0
1194,m,54.0,news,0
1195,m,49.0,sports,1
1196,m,87.0,health,1
1197,m,18.0,sports,1
1198,m,11.0,movies,1
1199,f,73.0,news,0
1200,m,76.0,news,0
1201,m,76.0,news,0
1202,m,93.0,sports,0
1203,f,18.0,news,0
1204,f,21.0,sports,1
1205,f,79.0,news,0
1206,f,87.0,sports,0
1207,m,16.0,news,0
1208,m,62.0,movies,0
1209,m,38.0,health,0
1210,f,64.0,health,1
1211,f,30.0,sports,0
1212,f,62.0,movies,0
1213,m,47.0,sports,1
1214,f,36.0,sports,0
1215,m,87.0,news,0
1216,m,25.0,news,0
1217,m,90.0,sports,0
1218,m,10.0,movies,1
1219,m,40.0,news,1
1220,f,66.0,sports,0
1221,f,49.0,sports,0
1222,m,13.0,health,0
1223,m,86.0,sports,0
1224,f,18.0,movies,1
1225,m,20.0,movies,1
1226,f,68.0,health,1
1227,m,62.0,health,1
1228,f,39.0,health,1
1229,f,14.0,health,0
1230,m,63.0,sports,0
1231,f,56.0,sports,0
1232,m,79.0,health,1
1233,f,23.0,movies,1
1234,m,49.0,health,0
1235,f,99.0,health,0
1236,m,41.0,health,0
1237,m,73.0,health,1
1238,m,72.0,movies,0
1239,f,62.0,health,1
1240,m,98.0,sports,0
1241,f,52.0,sports,0
1242,f,33.0,movies,1
1243,m,93.0,sports,0
1244,m,88.0,health,1
1245,m,50.0,sports,0
1246,m,30.0,health,0
1247,f,35.0,health,1
1248,m,93.0,movies,0
1249,f,11.0,sports,1
1250,m,82.0,health,1
1251,m,65.0,movies,0
1252,m,27.0,health,0
1253,m,21.0,sports,1
1254,m,70.0,sports,0
1255,m,91.0,news,0
1256,m,46.0,health,0
1257,f,52.0,news,0
1258,m,95.0,news,0
1259,f,51.0,movies,0
1260,m,89.0,movies,0
1261,f,48.0,news,0
1262,f,49.0,health,1
1263,f,31.0,news,0
1264,f,60.0,health,1
1265,m,85.0,sports,0
1266,m,26.0,news,0
1267,f,59.0,health,1
1268,m,65.0,health,1
1269,f,90.0,health,1
1270,f,18.0,news,0
1271,f,20.0,news,0
1272,m,47.0,health,0
1273,f,77.0,news,0
1274,m,38.0,movies,0
1275,m,40.0,movies,0
1276,m,64.0,news,0
1277,f,32.0,sports,0
1278,m,15.0,sports,1
1279,f,85.0,sports,0
1280,m,78.0,sports,0
1281,f,46.0,health,1
1282,f,60.0,health,1
1283,f,30.0,movies,1
1284,f,91.0,health,1
1285,m,20.0,news,0
1286,f,12.0,movies,1
1287,f,85.0,sports,0
1288,m,55.0,movies,0
1289,m,58.0,sports,0
1290,f,16.0,health,0
1291,m,37.0,news,1
1292,f,77.0,news,0
1293,m,83.0,health,1
1294,m,45.0,sports,1
1295,f,25.0,sports,1
1296,f,28.0,movies,1
1297,f,45.0,news,0
1298,m,86.0,news,0
1299,f,54.0,news,0
1300,m,88.0,movies,0
1301,m,95.0,movies,0
1302,f,52.0,health,1
1303,f,45.0,news,0
1304,f,81.0,news,0
1305,m,26.0,sports,1
1306,f,97.0,movies,0
1307,f,40.0,sports,0
1308,m,30.0,news,1
1309,f,91.0,sports,0
1310,m,19.0,movies,1
1311,f,18.0,sports,1
1312,m,33.0,health,0
1313,m,99.0,sports,0
1314,f,63.0,health,1
1315,m,97.0,news,0
1316,m,10.0,sports,1
1317,f,52.0,health,0
1318,f,30.0,movies,1
1319,m,48.0,movies,0
1320,f,63.0,news,0
1321,m,97.0,sports,0
1322,f,71.0,movies,0
1323,f,46.0,health,1
1324,f,23.0,health,0
1325,f,87.0,sports,0
1326,m,79.0,health,1
1327,f,55.0,health,1
1328,m,28.0,movies,1
1329,m,62.0,movies,0
1330,m,90.0,news,0
1331,m,51.0,health,1
1332,m,48.0,sports,1
1333,f,99.0,movies,0
1334,f,69.0,news,0
1335,m,50.0,health,0
1336,f,96.0,sports,0
1337,m,23.0,news,0
1338,f,92.0,movies,0
1339,m,69.0,movies,0
1340,f,36.0,movies,0
1341,m,38.0,news,1
1342,m,24.0,sports,1
1343,m,57.0,sports,0
1344,m,89.0,news,0
1345,f,79.0,health,1
1346,m,64.0,sports,0
1347,m,75.0,sports,0
1348,f,36.0,health,1
1349,m,17.0,movies,1
1350,m,72.0,news,0
1351,m,85.0,news,0
1352,m,39.0,sports,1
1353,f,87.0,health,1
1354,m,53.0,movies,0
1355,m,85.0,news,0
1356,f,70.0,news,0
1357,m,83.0,health,1
1358,m,51.0,sports,0
1359,m,32.0,news,1
1360,m,67.0,health,1
1361,f,41.0,health,1
1362,m,60.0,movies,0
1363,f,86.0,news,0
1364,f,70.0,sports,0
1365,m,36.0,movies,0
1366,m,71.0,news,0
1367,m,35.0,sports,1
1368,m,92.0,sports,0
1369,f,52.0,sports,0
1370,f,14.0,health,0
1371,m,39.0,sports,1
1372,f,96.0,movies,0
1373,f,67.0,health,1
1374,f,68.0,news,0
1375,f,71.0,sports,0
1376,m,71.0,sports,0
1377,m,95.0,news,0
1378,f,29.0,health,0
1379,f,15.0,health,0
1380,m,44.0,news,0
1381,m,55.0,health,0
1382,m,82.0,news,0
1383,f,85.0,movies,0
1384,f,95.0,health,1
1385,f,17.0,health,0
1386,m,96.0,news,0
1387,f,89.0,health,1
1388,f,32.0,movies,1
1389,f,20.0,news,0
1390,m,30.0,news,1
1391,f,37.0,sports,0
1392,m,63.0,sports,0
1393,m,61.0,news,0
1394,m,45.0,news,1
1395,f,68.0,health,1
1396,m,86.0,health,1
1397,m,70.0,health,1
1398,m,54.0,movies,0
1399,f,45.0,movies,1
1400,f,72.0,health,1
1401,m,92.0,sports,0
1402,m,76.0,movies,0
1403,m,77.0,sports,0
1404,f,22.0,movies,1
1405,m,41.0,movies,0
1406,m,20.0,movies,1
1407,m,93.0,movies,0
1408,m,94.0,health,1
1409,m,73.0,sports,0
1410,f,32.0,news,0
1411,f,96.0,health,1
1412,f,45.0,health,1
1413,m,37.0,health,0
1414,m,11.0,news,0
1415,f,96.0,news,0
1416,f,24.0,sports,1
1417,f,99.0,health,1
1418,m,40.0,news,1
1419,f,48.0,news,0
1420,f,95.0,health,1
1421,m,11.0,news,0
1422,f,65.0,health,1
1423,f,44.0,news,0
1424,m,11.0,health,0
1425,f,93.0,sports,0
1426,f,99.0,sports,0
1427,m,86.0,health,1
1428,f,90.0,news,0
1429,m,13.0,movies,1
1430,m,38.0,sports,1
1431,f,92.0,movies,0
1432,m,85.0,health,1
1433,m,43.0,sports,0
1434,m,36.0,news,1
1435,m,14.0,news,0
1436,m,65.0,movies,0
1437,f,16.0,health,0
1438,f,50.0,movies,0
1439,f,17.0,news,0
1440,f,84.0,movies,0
1441,f,79.0,news,0
1442,f,10.0,sports,1
1443,f,26.0,movies,1
1444,f,60.0,sports,0
1445,m,80.0,sports,0
1446,m,88.0,movies,0
1447,m,88.0,sports,0
1448,f,94.0,news,0
1449,m,26.0,sports,1
1450,m,28.0,health,0
1451,m,11.0,health,0
1452,m,78.0,health,1
1453,f,90.0,news,0
1454,m,41.0,movies,0
1455,m,22.0,health,0
1456,f,34.0,movies,0
1457,m,92.0,news,0
1458,f,38.0,news,0
1459,f,70.0,sports,0
1460,f,16.0,sports,1
1461,m,63.0,sports,0
1462,f,12.0,news,0
1463,m,47.0,sports,1
1464,f,34.0,sports,0
1465,m,17.0,news,0
1466,m,52.0,news,0
1467,f,26.0,news,0
1468,m,36.0,health,0
1469,m,70.0,news,0
1470,m,97.0,health,1
1471,f,44.0,health,1
1472,m,43.0,movies,0
1473,m,17.0,movies,1
1474,f,72.0,sports,0
1475,f,31.0,sports,0
1476,f,16.0,movies,0
1477,f,56.0,sports,0
1478,m,74.0,movies,0
1479,f,72.0,movies,0
1480,f,53.0,health,1
1481,m,13.0,health,0
1482,m,22.0,health,0
1483,m,85.0,sports,0
1484,m,70.0,news,0
1485,f,72.0,movies,0
1486,f,48.0,health,0
1487,m,24.0,sports,1
1488,f,81.0,movies,0
1489,f,61.0,health,1
1490,f,89.0,news,0
1491,m,41.0,health,0
1492,f,89.0,sports,0
1493,f,33.0,sports,0
1494,m,12.0,news,0
1495,f,67.0,movies,0
1496,f,42.0,movies,1
1497,m,39.0,health,0
1498,f,11.0,news,0
1499,m,47.0,sports,1
1500,f,41.0,movies,1
1501,f,18.0,movies,1
1502,f,57.0,movies,0
1503,f,58.0,health,1
1504,f,28.0,news,0
1505,f,92.0,news,0
1506,f,60.0,movies,0
1507,m,49.0,news,1
1508,m,42.0,sports,1
1509,m,17.0,health,0
1510,m,28.0,movies,1
1511,m,42.0,news,1
1512,m,65.0,health,1
1513,f,33.0,movies,1
1514,m,82.0,health,1
1515,f,61.0,movies,0
1516,f,71.0,news,0
1517,f,46.0,sports,0
1518,f,86.0,health,1
1519,m,81.0,movies,0
1520,f,74.0,news,0
1521,f,84.0,sports,0
1522,f,43.0,movies,1
1523,f,85.0,news,0
1524,f,92.0,sports,0
1525,m,27.0,movies,1
1526,m,56.0,sports,0
1527,f,68.0,health,1
1528,m,47.0,news,0
1529,f,97.0,movies,0
1530,m,85.0,news,0
1531,m,81.0,sports,0
1532,m,83.0,news,0
1533,f,47.0,health,0
1534,m,90.0,movies,0
1535,m,51.0,sports,0
1536,f,65.0,sports,0
1537,f,10.0,health,0
1538,f,86.0,movies,0
1539,m,56.0,health,1
1540,m,24.0,news,0
1541,m,49.0,sports,1
1542,f,90.0,health,1
1543,f,53.0,movies,0
1544,m,37.0,news,1
1545,m,12.0,sports,1
1546,f,64.0,sports,0
1547,f,72.0,movies,0
1548,m,95.0,sports,0
1549,m,16.0,movies,1
1550,m,46.0,sports,1
1551,m,97.0,sports,0
1552,m,11.0,movies,1
1553,f,26.0,news,0
1554,f,59.0,news,0
1555,f,59.0,news,0
1556,m,13.0,movies,1
1557,m,53.0,health,1
1558,m,55.0,health,1
1559,f,21.0,health,0
1560,f,85.0,movies,0
1561,m,87.0,movies,0
1562,f,65.0,movies,0
1563,f,44.0,movies,1
1564,f,71.0,movies,0
1565,f,41.0,news,0
1566,m,74.0,news,0
1567,m,87.0,movies,0
1568,f,60.0,sports,0
1569,m,65.0,sports,0
1570,m,89.0,news,0
1571,m,21.0,health,0
1572,f,66.0,health,0
1573,f,78.0,sports,0
1574,m,86.0,movies,0
1575,f,96.0,health,1
1576,m,39.0,news,1
1577,m,59.0,movies,0
1578,f,72.0,news,0
1579,m,89.0,news,0
1580,f,67.0,movies,0
1581,f,74.0,sports,0
1582,m,85.0,news,0
1583,f,69.0,health,1
1584,f,65.0,movies,0
1585,m,76.0,news,0
1586,f,61.0,sports,0
1587,m,38.0,news,1
1588,f,58.0,sports,0
1589,f,51.0,news,0
1590,m,87.0,sports,0
1591,m,42.0,sports,1
1592,f,64.0,sports,0
1593,m,32.0,news,0
1594,f,75.0,movies,0
1595,f,69.0,sports,0
1596,m,63.0,health,1
1597,m,36.0,news,0
1598,m,28.0,sports,1
1599,m,85.0,news,0
1600,m,82.0,health,1
1601,m,10.0,sports,1
1602,f,81.0,sports,0
1603,f,81.0,news,0
1604,f,39.0,sports,0
1605,f,87.0,sports,0
1606,m,42.0,movies,0
1607,f,65.0,sports,0
1608,m,12.0,news,0
1609,f,75.0,health,1
1610,f,34.0,news,0
1611,f,49.0,sports,0
1612,m,14.0,sports,1
1613,m,21.0,news,0
1614,f,36.0,health,1
1615,m,65.0,news,0
1616,m,21.0,health,0
1617,m,76.0,news,0
1618,f,52.0,news,0
1619,f,91.0,news,0
1620,f,17.0,movies,1
1621,f,99.0,movies,0
1622,m,53.0,health,1
1623,m,45.0,health,0
1624,f,26.0,health,0
1625,f,54.0,sports,0
1626,f,38.0,sports,0
1627,m,12.0,health,0
1628,f,81.0,sports,0
1629,f,60.0,sports,0
1630,f,68.0,movies,0
1631,m,28.0,movies,1
1632,m,65.0,health,1
1633,f,73.0,sports,0
1634,f,53.0,sports,0
1635,m,24.0,movies,1
1636,f,72.0,news,0
1637,f,99.0,movies,0
1638,m,18.0,health,0
1639,m,22.0,sports,1
1640,m,44.0,news,1
1641,f,18.0,health,0
1642,f,84.0,health,1
1643,m,84.0,health,1
1644,f,27.0,health,0
1645,m,18.0,news,0
1646,f,74.0,news,0
1647,m,97.0,news,0
1648,f,39.0,health,1
1649,m,47.0,movies,0
1650,m,13.0,news,0
1651,f,59.0,movies,0
1652,m,81.0,movies,0
1653,f,26.0,movies,1
1654,m,57.0,movies,0
1655,m,90.0,sports,0
1656,f,38.0,sports,0
1657,m,49.0,news,1
1658,m,74.0,health,1
1659,f,38.0,health,1
1660,f,77.0,health,1
1661,f,77.0,news,0
1662,m,84.0,news,0
1663,f,11.0,movies,1
1664,m,91.0,sports,0
1665,f,81.0,health,0
1666,f,39.0,news,0
1667,f,24.0,news,0
1668,m,72.0,movies,0
1669,m,28.0,news,0
1670,m,47.0,news,1
1671,m,18.0,news,0
1672,m,86.0,sports,0
1673,f,33.0,movies,1
1674,f,69.0,news,0
1675,m,51.0,health,0
1676,m,17.0,news,0
1677,f,78.0,sports,0
1678,m,17.0,sports,1
1679,m,74.0,sports,0
1680,m,82.0,movies,0
1681,f,86.0,news,0
1682,m,34.0,sports,1
1683,f,10.0,news,0
1684,m,64.0,movies,0
1685,f,55.0,health,1
1686,m,64.0,sports,0
1687,m,18.0,health,0
1688,f,53.0,news,0
1689,m,62.0,news,0
1690,f,58.0,health,1
1691,m,60.0,movies,0
1692,f,10.0,movies,1
1693,f,17.0,news,0
1694,m,51.0,movies,0
1695,m,76.0,news,0
1696,f,96.0,news,0
1697,f,68.0,news,0
1698,f,73.0,health,1
1699,f,31.0,health,1
1700,m,63.0,health,1
1701,f,40.0,news,0
1702,f,81.0,sports,0
1703,f,40.0,news,0
1704,f,76.0,health,1
1705,f,98.0,sports,0
1706,f,34.0,health,1
1707,m,99.0,sports,0
1708,m,33.0,health,0
1709,m,96.0,health,1
1710,m,86.0,health,1
1711,m,10.0,news,0
1712,m,16.0,movies,1
1713,f,73.0,health,1
1714,m,48.0,health,0
1715,f,31.0,health,1
1716,f,67.0,movies,0
1717,f,61.0,movies,0
1718,m,99.0,news,0
1719,f,64.0,news,0
1720,f,22.0,news,0
1721,f,47.0,health,1
1722,m,72.0,movies,0
1723,f,26.0,news,0
1724,f,92.0,movies,0
1725,m,46.0,sports,0
1726,m,51.0,sports,0
1727,f,47.0,health,1
1728,f,46.0,news,0
1729,f,37.0,news,0
1730,f,34.0,sports,0
1731,m,42.0,sports,1
1732,f,93.0,sports,0
1733,m,85.0,movies,0
1734,f,31.0,sports,0
1735,m,47.0,movies,0
1736,f,49.0,sports,0
1737,m,30.0,sports,1
1738,f,26.0,health,0
1739,f,38.0,movies,1
1740,m,46.0,sports,1
1741,m,37.0,sports,1
1742,f,97.0,health,1
1743,m,29.0,movies,1
1744,m,77.0,movies,0
1745,f,82.0,sports,0
1746,f,74.0,news,0
1747,f,60.0,movies,0
1748,m,41.0,health,0
1749,m,36.0,health,0
1750,f,22.0,movies,1
1751,f,12.0,sports,1
1752,f,35.0,movies,1
1753,m,17.0,movies,1
1754,m,42.0,movies,0
1755,f,62.0,movies,0
1756,m,73.0,movies,0
1757,f,19.0,news,0
1758,f,35.0,sports,0
1759,m,54.0,sports,0
1760,f,63.0,movies,0
1761,m,79.0,sports,0
1762,f,56.0,news,0
1763,m,51.0,sports,0
1764,f,11.0,movies,1
1765,f,21.0,news,0
1766,m,13.0,movies,1
1767,f,85.0,movies,0
1768,m,20.0,sports,1
1769,f,52.0,news,0
1770,f,82.0,news,0
1771,f,28.0,news,0
1772,f,28.0,movies,1
1773,f,86.0,health,1
1774,f,96.0,sports,0
1775,m,91.0,sports,0
1776,m,85.0,news,0
1777,m,81.0,news,0
1778,m,32.0,news,1
1779,m,76.0,news,0
1780,f,69.0,movies,0
1781,m,16.0,news,0
1782,m,17.0,health,0
1783,m,89.0,health,1
1784,f,14.0,news,0
1785,m,57.0,news,0
1786,f,58.0,news,0
1787,m,74.0,health,0
1788,m,76.0,health,1
1789,f,24.0,news,0
1790,f,67.0,sports,0
1791,m,64.0,health,1
1792,m,12.0,movies,1
1793,f,91.0,sports,0
1794,f,97.0,sports,0
1795,f,58.0,movies,0
1796,m,59.0,health,1
1797,m,54.0,news,0
1798,m,28.0,health,0
1799,f,83.0,sports,0
1800,m,97.0,sports,0
1801,f,59.0,health,1
1802,m,11.0,health,0
1803,f,76.0,sports,0
1804,f,79.0,sports,0
1805,m,27.0,news,0
1806,f,62.0,sports,0
1807,m,57.0,health,1
1808,f,40.0,health,1
1809,f,85.0,movies,0
1810,m,83.0,movies,0
1811,m,80.0,movies,0
1812,f,59.0,movies,0
1813,m,15.0,health,0
1814,f,51.0,news,0
1815,f,40.0,movies,1
1816,f,72.0,news,0
1817,m,62.0,health,1
1818,f,99.0,movies,0
1819,m,16.0,sports,1
1820,f,15.0,health,0
1821,f,95.0,news,0
1822,f,56.0,health,1
1823,m,20.0,movies,1
1824,f,92.0,sports,0
1825,m,20.0,sports,1
1826,m,88.0,sports,0
1827,f,91.0,sports,0
1828,f,14.0,sports,1
1829,m,29.0,movies,1
1830,m,43.0,health,0
1831,f,68.0,sports,0
1832,m,58.0,sports,0
1833,f,86.0,movies,0
1834,f,87.0,news,0
1835,f,94.0,sports,0
1836,f,17.0,movies,1
1837,f,22.0,sports,1
1838,f,89.0,sports,0
1839,m,51.0,news,0
1840,f,66.0,news,0
1841,f,18.0,movies,1
1842,m,85.0,health,1
1843,f,66.0,movies,0
1844,m,20.0,health,0
1845,m,81.0,news,0
1846,m,36.0,health,0
1847,f,39.0,sports,0
1848,m,69.0,news,0
1849,f,38.0,news,0
1850,f,55.0,sports,0
1851,m,63.0,sports,0
1852,m,96.0,movies,0
1853,f,33.0,news,0
1854,f,53.0,health,1
1855,f,39.0,movies,1
1856,f,61.0,health,1
1857,f,62.0,health,1
1858,m,62.0,sports,0
1859,f,96.0,news,0
1860,f,93.0,health,1
1861,m,22.0,news,0
1862,f,69.0,health,1
1863,f,21.0,health,0
1864,m,79.0,health,1
1865,f,34.0,sports,0
1866,m,12.0,news,0
1867,m,29.0,sports,1
1868,f,40.0,movies,1
1869,f,79.0,sports,0
1870,f,78.0,sports,0
1871,f,64.0,sports,0
1872,f,22.0,sports,0
1873,f,26.0,movies,1
1874,m,47.0,sports,1
1875,f,75.0,news,0
1876,f,70.0,sports,0
1877,f,66.0,news,0
1878,m,47.0,health,0
1879,f,25.0,movies,1
1880,f,19.0,sports,1
1881,f,29.0,health,0
1882,f,94.0,news,0
1883,m,84.0,health,1
1884,f,91.0,health,1
1885,f,29.0,sports,1
1886,m,47.0,news,1
1887,f,78.0,health,1
1888,f,28.0,news,0
1889,f,19.0,movies,0
1890,m,96.0,sports,0
1891,f,12.0,sports,1
1892,f,51.0,health,1
1893,m,51.0,sports,0
1894,m,50.0,news,0
1895,f,31.0,sports,0
1896,f,23.0,health,0
1897,f,39.0,sports,0
1898,m,63.0,health,0
1899,m,89.0,sports,0
1900,m,31.0,movies,0
1901,m,37.0,health,0
1902,f,35.0,news,0
1903,m,89.0,sports,0
1904,f,32.0,health,1
1905,m,56.0,movies,0
1906,f,43.0,news,0
1907,f,90.0,movies,0
1908,m,58.0,movies,0
1909,m,46.0,news,1
1910,f,47.0,movies,1
1911,f,19.0,health,0
1912,f,60.0,health,1
1913,m,70.0,news,0
1914,f,46.0,health,1
1915,m,46.0,movies,0
1916,m,50.0,sports,0
1917,m,27.0,health,0
1918,m,60.0,news,0
1919,f,85.0,news,0
1920,m,66.0,health,1
1921,f,18.0,sports,1
1922,m,61.0,movies,0
1923,f,96.0,movies,0
1924,f,89.0,news,0
1925,f,49.0,health,1
1926,m,22.0,health,0
1927,m,52.0,sports,0
1928,m,96.0,health,1
1929,f,59.0,sports,0
1930,f,44.0,sports,0
1931,m,28.0,health,0
1932,m,10.0,sports,1
1933,f,26.0,sports,1
1934,m,86.0,news,0
1935,f,69.0,sports,0
1936,f,93.0,movies,0
1937,m,50.0,news,0
1938,m,22.0,health,0
1939,m,52.0,news,0
1940,f,54.0,movies,0
1941,m,86.0,sports,0
1942,f,89.0,health,1
1943,f,67.0,news,0
1944,m,62.0,sports,0
1945,f,55.0,news,0
1946,m,26.0,health,0
1947,m,88.0,news,0
1948,m,68.0,health,1
1949,f,73.0,movies,0
1950,f,20.0,news,0
1951,m,34.0,movies,0
1952,m,14.0,movies,1
1953,f,46.0,sports,0
1954,f,90.0,news,0
1955,f,93.0,health,1
1956,m,87.0,health,1
1957,m,27.0,health,0
1958,m,36.0,news,1
1959,m,36.0,sports,1
1960,f,73.0,news,0
1961,f,59.0,movies,0
1962,m,24.0,health,0
1963,f,26.0,movies,1
1964,m,86.0,health,1
1965,m,19.0,sports,1
1966,m,62.0,sports,0
1967,m,39.0,news,1
1968,m,37.0,health,0
1969,m,73.0,movies,0
1970,f,25.0,health,0
1971,m,81.0,news,0
1972,f,86.0,sports,0
1973,m,17.0,health,0
1974,m,25.0,movies,1
1975,m,32.0,news,1
1976,f,39.0,health,1
1977,f,97.0,sports,0
1978,m,90.0,news,0
1979,m,92.0,sports,0
1980,f,52.0,health,0
1981,m,34.0,sports,1
1982,m,95.0,news,0
1983,m,21.0,news,0
1984,f,15.0,news,0
1985,f,16.0,movies,1
1986,f,88.0,health,0
1987,f,40.0,sports,0
1988,m,71.0,movies,0
1989,f,26.0,movies,1
1990,f,32.0,movies,1
1991,f,11.0,sports,1
1992,f,85.0,movies,0
1993,f,61.0,movies,0
1994,f,54.0,movies,0
1995,m,43.0,movies,0
1996,m,32.0,news,1
1997,m,81.0,news,0
1998,m,19.0,health,0
1999,f,73.0,news,0
2000,f,78.0,movies,0
2001,f,73.0,movies,0
2002,f,45.0,health,1
2003,m,40.0,movies,0
2004,f,55.0,sports,0
2005,f,73.0,news,1
2006,m,27.0,movies,0
2007,m,71.0,news,0
2008,f,41.0,sports,0
2009,m,34.0,movies,0
2010,m,13.0,movies,0
2011,m,76.0,health,1
2012,m,97.0,news,1
2013,f,65.0,sports,0
2014,m,32.0,movies,0
2015,m,13.0,sports,0
2016,f,39.0,health,1
2017,f,67.0,sports,0
2018,f,63.0,health,0
2019,f,65.0,health,1
2020,f,26.0,news,1
2021,f,40.0,movies,0
2022,m,33.0,health,1
2023,f,35.0,movies,0
2024,f,47.0,movies,0
2025,f,35.0,news,1
2026,f,92.0,news,1
2027,m,43.0,news,1
2028,f,11.0,movies,0
2029,m,19.0,health,1
2030,f,91.0,movies,0
2031,f,38.0,news,0
2032,m,11.0,movies,0
2033,m,94.0,movies,0
2034,m,53.0,health,1
2035,f,52.0,news,1
2036,m,48.0,sports,0
2037,f,55.0,news,1
2038,m,82.0,sports,0
2039,m,20.0,movies,0
2040,f,80.0,news,1
2041,m,91.0,movies,0
2042,m,46.0,sports,0
2043,f,39.0,news,1
2044,f,16.0,news,0
2045,f,64.0,sports,0
2046,m,50.0,news,0
2047,f,18.0,health,1
2048,f,41.0,health,0
2049,m,83.0,news,1
2050,f,85.0,sports,0
2051,f,78.0,health,1
2052,m,36.0,news,1
2053,f,71.0,news,1
2054,f,74.0,movies,0
2055,m,46.0,news,1
2056,f,82.0,sports,0
2057,f,84.0,movies,0
2058,m,23.0,news,1
2059,m,39.0,sports,0
2060,f,80.0,news,1
2061,f,13.0,health,1
2062,m,17.0,news,1
2063,m,83.0,news,1
2064,m,62.0,health,1
2065,f,13.0,health,1
2066,f,69.0,sports,0
2067,f,42.0,sports,0
2068,f,86.0,movies,0
2069,m,55.0,movies,0
2070,m,42.0,sports,0
2071,m,34.0,news,1
2072,f,82.0,movies,0
2073,m,58.0,sports,0
2074,f,65.0,movies,0
2075,m,50.0,sports,0
2076,f,78.0,news,1
2077,m,12.0,movies,0
2078,m,92.0,health,1
2079,f,21.0,sports,0
2080,f,30.0,movies,0
2081,m,19.0,health,0
2082,f,66.0,health,1
2083,f,26.0,news,1
2084,f,85.0,movies,0
2085,m,31.0,news,1
2086,m,30.0,health,1
2087,m,51.0,health,1
2088,f,89.0,movies,0
2089,m,68.0,health,1
2090,m,81.0,health,1
2091,f,81.0,sports,0
2092,f,13.0,sports,0
2093,m,94.0,movies,0
2094,f,81.0,sports,0
2095,f,89.0,health,0
2096,f,26.0,news,1
2097,m,28.0,health,1
2098,m,46.0,sports,0
2099,f,99.0,health,1
2100,m,64.0,health,0
2101,m,61.0,news,1
2102,m,66.0,sports,0
2103,m,74.0,sports,0
2104,f,96.0,health,1
2105,f,20.0,news,1
2106,f,56.0,movies,0
2107,m,84.0,sports,0
2108,f,23.0,movies,0
2109,m,50.0,health,1
2110,f,88.0,health,1
2111,m,35.0,movies,0
2112,f,82.0,health,1
2113,f,10.0,sports,0
2114,f,68.0,sports,0
2115,f,47.0,sports,0
2116,m,14.0,sports,0
2117,f,74.0,sports,0
2118,m,54.0,sports,0
2119,f,44.0,news,1
2120,f,61.0,movies,0
2121,m,40.0,health,1
2122,m,30.0,movies,0
2123,m,40.0,sports,0
2124,f,15.0,news,1
2125,f,12.0,news,1
2126,m,60.0,health,1
2127,f,84.0,health,1
2128,f,55.0,sports,0
2129,m,74.0,health,1
2130,f,42.0,health,1
2131,m,14.0,health,1
2132,f,28.0,sports,0
2133,f,81.0,sports,0
2134,m,34.0,sports,0
2135,f,43.0,news,1
2136,m,91.0,sports,0
2137,m,16.0,movies,0
2138,f,63.0,sports,0
2139,f,64.0,health,1
2140,m,85.0,news,1
2141,m,51.0,movies,0
2142,m,69.0,health,1
2143,m,41.0,news,1
2144,f,47.0,sports,0
